name,region,year,life_exp,income,child_mort,fertility,population
Morocco,africa,2020,74.64,8220,20.61,2.35,36910558
Moldova,europe,2020,73.19,7250,14.88,1.23,4033963
Madagascar,africa,2020,64.54,1560,48.71,3.97,27691019
Maldives,asia,2020,82.37,15400,7.87,1.94,540542
Mexico,americas,2020,75.71,18300,12.33,2.07,128932753
Mali,africa,2020,63.27,2180,92.36,5.7,20250834
Malta,europe,2020,81.45,41300,6.61,1.5,441539
Myanmar,asia,2020,69.33,6970,43.64,2.13,54409794
Montenegro,europe,2020,76.84,18700,2.38,1.64,628062
Mongolia,asia,2020,69.49,13600,15.06,2.59,3278292
Mozambique,africa,2020,60.39,1220,68.1,4.99,31255435
Mauritania,africa,2020,71.25,4170,72.14,4.43,4649660
Mauritius,africa,2020,75.16,23600,14.75,1.42,1271767
Malawi,africa,2020,64.63,1240,45.07,4.31,19129955
Malaysia,asia,2020,75.2,31000,7.38,1.97,32365998
Namibia,africa,2020,67.57,9720,36.81,3.19,2540916
Niger,africa,2020,63.57,991,77.7,7,24206636
Nigeria,africa,2020,65.63,5300,113.6,5.25,206139587
Nicaragua,americas,2020,79.47,4480,17.34,2.09,6624554
Netherlands,europe,2020,81.93,51800,3.53,1.76,17134873
Norway,europe,2020,82.74,68200,2.36,1.83,5421242
Nepal,asia,2020,71.83,3150,29.79,2,29136808
New Zealand,asia,2020,82.07,37000,5.54,1.95,4822233
Oman,asia,2020,77.78,36400,10.43,2.4,5106622
Pakistan,asia,2020,67.33,5080,66.63,3.23,220892331
Panama,americas,2020,79.83,25100,14.62,2.41,4314768
Peru,americas,2020,81.01,13700,13.51,2.29,32971846
Philippines,asia,2020,70.13,9040,27.2,2.81,109581085
Papua New Guinea,asia,2020,59.15,3970,45.16,3.47,8947027
Poland,europe,2020,78.55,31700,4.13,1.29,37846605
North Korea,asia,2020,72.54,1720,16.69,1.87,25778815
Portugal,europe,2020,82.02,30300,3.46,1.24,10196707
Paraguay,americas,2020,76.5,12700,19.44,2.38,7132530
Palestine,asia,2020,77.34,4700,19.42,3.75,5101416
Qatar,asia,2020,80.59,119000,6.49,1.83,2881060
Romania,europe,2020,75.57,27200,6.87,1.56,19237682
Russia,europe,2020,72.68,26700,6.52,1.77,145934460
Rwanda,africa,2020,69.45,2360,32.03,3.6,12952209
Saudi Arabia,asia,2020,77.27,48300,6.49,2.38,34813867
Sudan,africa,2020,71.01,4580,57.77,4.29,43849269
Senegal,africa,2020,68.89,3740,40.34,4.49,16743930
Singapore,asia,2020,85.29,91400,2.61,1.27,5850343
Solomon Islands,asia,2020,68.99,2180,19.02,3.64,686878
Sierra Leone,africa,2020,61.73,1540,99.03,4.08,7976985
El Salvador,americas,2020,74.68,7710,12.63,2,6486201
Somalia,africa,2020,59.54,636,116.52,5.89,15893219
Serbia,europe,2020,76.17,18200,5.16,1.63,8737370
South Sudan,africa,2020,60,1980,96.28,4.54,11193729
Sao Tome and Principe,africa,2020,67.49,3140,29.29,4.22,219161
Suriname,americas,2020,72.39,14300,17.91,2.28,586634
Slovak Republic,europe,2020,77.87,33800,5.27,1.49,5459643
Slovenia,europe,2020,81.56,35600,2.07,1.66,2078932
Sweden,europe,2020,82.93,48000,2.53,1.91,10099270
Seychelles,africa,2020,73.83,29400,13.96,2.2,98340
Syria,asia,2020,72.43,2930,14.78,2.73,17500657
Chad,africa,2020,60.92,1830,114.49,5.55,16425859
